Indonesian	Minangkabau
Mengemudi mobil di jalan yang berlubang-lubang, berkelok-kelok, dan penuh dengan kendaraan lain merupakan tantangan yang harus dihadapi dengan kesabaran dan kewaspadaan yang tinggi.	Menunggang kuda di jalan yang terjal-terjal, bergelombang-gelombang, dan penuh dengan pengendara lain adalah pengalaman yang harus ditangani dengan kerendahan hati dan kecermatan yang tinggi.
Perayaan hari raya Idul Fitri adalah momen yang penuh kegembiraan, ketika keluarga dan teman-teman berkumpul untuk bersilaturahmi, merayakan bersama, bermaafan satu sama lain, dan menikmati hidangan lezat yang khas; sementara itu, liburan Cimoyan di Minangkabau juga dirayakan dengan penuh antusiasme, melalui berbagai kegiatan seperti tari-tarian tradisional, permainan rakyat, pertunjukan seni dan budaya, serta santapan makanan khas seperti rendang, dendeng, dan lemang.	Tari-tarian tradisional seperti tari piring, tari payung, dan tari kubelek menjadi pusat perhatian selama acara selibut Cimoyan, di mana masyarakat Minangkabau merayakannya dengan semarak dan penuh kegembiraan, sambil menikmati berbagai hidangan lezat seperti randang, sate
Di pagi yang cerah ini, matahari terbit dari ufuk timur, langitnya biru cerah, dan burung-burung berkicau merdu di pepohonan yang rimbun.	Di pagi nan siamo ini, mari si suriah mangajo dari hujung timur, langinyo biru nan siam, dan parak burayak ikik di cebangan nan mengelamun.
Saat saya bersama keluarga, saya senang mengunjungi tempat-tempat wisata yang ada di Indonesia seperti pantai, gunung, hutan, danau, serta situs sejarah yang kaya akan budaya dan keindahan alam.	Kalau saya barek lai atau sama-sama famili, sayo kasuka menengok objek pariwisata kampuang nan ado di Indonesia saperti pantai, gunuang, rimbun hutan, danau, sarato goyang mahasil tulang nan kaya ado budayo saperti situs sejarah atau panjara balai adat nan cantik bangek.
Setiap pagi, ketika matahari mulai terbit dan langit mulai berubah warna, aku suka berjalan-jalan di taman yang luas dan hijau di dekat rumahku, aku melihat bunga-bunga yang anggun dan harum, aku merasakan udara segar yang menusuk hidungku, aku mendengar nyanyian burung-burung kecil yang sedang berkicau riang.	Saban pagi, waktu mamuncangkan surya dan langik mamulai ubah punca, kato awak jo marang mecek rang pekukuang lapah dan hijau di dekat panggih kajunjung awak, awak mangorampek bunga-bunga nan elok sarupo harum, awak raso lembut angiak anko badaro nan masuk rng upek, awak undano lantunan suaro buruang-buruang jo kekicauan yang kaakilang surek ampek-ampek.
Ketika memasuki kelas, siswa harus membuka bukunya, mengambil pena dan mempersiapkan dirinya untuk belajar, sementara guru akan memberikan materi pelajaran yang bisa diulang-ulang sampai dipahami dengan baik oleh siswa.	Pado waktu masuko kelas, akek sisia adolah haroso mulua bukonyo dibukak, mamborong pisau tulis kumpuoan dirinyo untuak balajar, sementaro guru adolah mambarikan materi palajaran nan dirancakannyo, saketeknyo sampai diselemaikan dek anak sisia.
.Saat mentari masih terbit, burung-burung berkicau riang dan semarak bunga-bunga mekar di taman; angin sepoi-sepoi bertiup lembut di bulan-bulan dingin yang berganti-ganti; ketika hujan turun dengan derasnya, air mengalir mengisi sungai-sungai, menyejukkan bumi, dan menyuburkan tanah; dalam sepenggal cerita, seorang pahlawan berjuang mempertahankan tanah airnya, bertarung bergelut dengan musuh yang datang dari jauh, dan menanggung rintangan dan perjuangan yang berat.	.Dapek banaak, ba'aso sajatar tarangko, paaduik gaduang niruik lalok, lajuang rang utan taraliang jadi andak, kampuang kampuang diatuah paluaik, batangan ruang telagaik nangguang sorangkan, bisaik lejoo jariang baarah, babagi mintak untuang
Lalu, saya bangun pagi-pagi sekali dan pergi ke pasar untuk membeli bahan-bahan makanan, membayar tagihan, serta memenuhi kebutuhan sehari-hari, sementara kakak saya menyiapkan sarapan dan adik saya membersihkan rumah.	Di lamo, alah kamek saayo pagi-pagi ciek lalu mancaraki pasar nyo boh bajalan balai, mauju tagihan, sabalunyo mamenuhi atau adatikan hajo mudo, samentaro kakok kamek ngambangko saro makanan dan abang kamek moyokke saro rumah.
Hujan turun dengan derasnya, orang-orang memadati jalan raya, kendaraan berlalu lalang dengan suara bisingnya, kedai-kedai tetap buka hingga larut malam, dan lampu-lampu kota terlihat samar di balik embun.	Hujan turun dengan derasnyo, urang-urang mampadati jalan raya, kandaraan barlalu malalang dengan suaro merehso, kedai-kedai ratsanyo tarbuka sampek lamo-lamo, sado lampu nagari tobatanyo raonok di sapua embun.
Hari ini, saya bangun di pagi yang cerah, mandi, sarapan, dan pergi ke kantor dengan mobil untuk menghadiri rapat penting bersama rekan-rekan kerja.	Hari inyo, ako bangun di pagi nan sugo, mandi, sarapan, jo pigo ken kantor menggunakan rodi untuak mambangkek rapat yang penting baringo-baringo pompuangan.
Saya suka makan nasi padang, karena rasanya enak dan pedas, serta di Minangkabau banyak warung yang menjualnya, tetapi kadang-kadang sulit mencari yang halal dan bersih.	Saya suko makan nasi padang, sabalunyo konyo raso elok jo pedas, sarato di Minangkabau saneang ado banyak warung nan manggamboi, ciek baliak kadang-kadang sulit mencari nan halal dan bersih.
Dia datang ke stadion dengan membawa bendera merah putih, menyanyikan lagu kebangsaan Indonesia Raya, dan mengenakan kaos dengan gambar pahlawan nasional.	Dia datang ke lapangan sepak bola dengan manggenggam bendera merah putih, mengucapkan pantun adat dengan bahasa Minang yang khas, dan memakai baju adat yang dihiasi dengan motif unik dari kesenian Minang.
Di kota besar seperti Jakarta, semakin banyak gedung pencakar langit dibangun, semakin tinggi tingkat polusi udaranya, semakin padat lalu lintasnya, semakin banyak orang yang kesulitan mendapatkan tempat tinggal yang terjangkau, semakin banyak pekerjaan yang tersedia, dan semakin banyak tawaran bisnis yang menggiurkan.	Dumati besar saperti Jakarta, jauh labiah banyak rumah gadang nan dibangun, kabanyakannyo taboyah udaronyo, kabanyakannyo bartabiatnyo, kabanyakannyo urang nan sulit mangaticik rumah yang busarak, kabanyakannyo kopo nan ado, dan kabanyakannyo suratan bisnis nan bipasan.
Ayahku pergi ke pasar untuk membeli sayuran, ibuku pergi ke toko baju untuk membeli pakaian, dan adikku pergi ke tempat latihan untuk berlatih sepakbola.	Bapakku mandaki ke pasar untuak mambari sayur, indakku mandaki ka tokok baju untuak mambari pakayan, dan adikku mandaki ke lapangan latihan untuak balajar main sepak bola.
Hari ini adalah hari yang cerah, langit bersih dan biru, suhu udara terasa sejuk dan nyaman, dan angin bertiup pelan-pelan di pagi hari.	Pagari hari iko ado lah lah ceramah, langit nan biru kena tetaji, suhu raso ado anyaman, serta angin kana masa nan mbukil-bukil pada pagi.
Pada masa pandemi ini, banyak orang harus bekerja dari rumah, membatasi interaksi secara fisik, menggunakan masker, menghindari kerumunan, dan menjaga jarak sosial untuk melindungi diri dan orang lain dari penyebaran virus.	Dalam waktu pandemi ni, banyak urang kena kato di rumah, batasi interaksi sarakik, pake masker, hindari kotumbuak, jo ngalinduang jarak panjago untuak nyuaro diri jo orang lain dari penyebaran virus.
Membaca buku adalah kegiatan yang dapat meningkatkan pengetahuan dan keterampilan, menambah kosakata dan kemampuan berbahasa, serta memperluas wawasan dan pemahaman tentang dunia dan kehidupan.	Mambaco buku adalah pantuluangan yang bisa nambah raso serta ka pandailah ko tantang mamaka bahaso, manambahakan kebanyakan kateh dan gabungan untaik diri, serta mamapancangkan pandangan dan sahajaan kolok urang tentang dunia jo urang.
Hari ini aku bangun pagi, bersihkan rumah, berbelanja bahan makanan di pasar, memasak makan siang untuk keluarga, dan menyelesaikan pekerjaan kantor.	Hari ka dio pagi tagadai, missui rumah, berbelanja barang makane di pasar, maanggek masakan makan siang untuak ka keluargo, dan tamakani paih kantiak kantor.
Ketika kita berbicara tentang kesuksesan, maka yang menjadi kunci utama tentu saja adalah kerja keras, disiplin, dan tekun dalam menjalankan setiap langkah yang diambil.	Dapek lah kalau kitu ulasan ka sukses, lamaknyo pandapek nan jadi pangucap utamo hanyo ado gagaik, pikiritan, salamo urang bana sajalah barayanyo mambuek lambang-tangah nan dituju.
Hari ini, saya bangun pagi-pagi sekali, membuka jendela, menghirup udara segar, menyeduh kopi panas, membaca buku favorit, dan bersiap-siap menuju kantor untuk memulai aktivitas.	Dina tabang sajo, hambueklah panganggo jalo, kemudian kaik ngawasiakan barara segar, kaik memasak kopi pana, kaik memabaca buku yangka disuka, dan kaik bajalan mamborong kaik kantor badasiak bariakik aktipitas.
Banyak sekali hal yang perlu dilakukan oleh manusia, seperti belajar, bekerja, makan, minum, tidur, beribadah, bersosialisasi, dan menjaga kebersihan.	Palapeh banyak tugas yang ilarang dikerjakan urang, kaiak belajar, bajar, makang, minum, turun, beribadah, basamo-samo, sarebuik ibadah pangapunggan.
Selama ini saya telah belajar berbagai ilmu pengetahuan dan keterampilan, bekerja dengan gigih dan tekun, serta berusaha untuk menjadi pribadi yang mandiri dan berbudi pekerti luhur.	Ampek salama ndak sadangko urang sabalunyo dapodo mangajari kato-kato ilmu dan keterampilan, pantang takua patimbanjo ghobi dan sokong-sokong, tagantuah untuok jadi insan mandiri dengan budi pekerti nan bagarak.
Ayah saya sangat bersyukur karena memiliki seorang istri yang pandai memasak, anak-anak yang cerdas dan soleh/solehah, serta sebuah rumah yang besar dan nyaman di tengah kota yang ramai.	Bapak aku benar-benar sacah syukur adonyo ado ka badia sapek kan pancuran sabalun, sulang-sulang yang pinter saneak, sumando nan boyo dan nyaman jo pangana di pantai kota yang ribuan udo.
Saya suka makan nasi goreng, mie goreng, dan ayam goreng, karena makanan-makanan tersebut enak dan sering menjadi pilihan saya saat makan di restoran.	Saya sukai makang nasi goreng, mie goreng, aia goreng, sabab makang-makang nan, sedap lah ditamben ado manjadi pilihan nan lamo udaik makan di restaoran.
Saya suka mengunjungi kota-kota besar seperti Jakarta, Surabaya, dan Bandung karena ada banyak tempat wisata yang menarik, restoran yang enak, dan pengalaman yang menyenangkan.	Saya suko mengunjungi kota-kota besar teh seperti Jakarta, Surabaya, jo Bandung sabagai nyarato wisato nan menarik, rumah makan nan enak, jo pengalaman nan indah-indah.
Hari ini cuacanya cerah, langitnya biru, dan anginnya sepoi-sepoi, membuat suasana menjadi semakin menyenangkan.	Hari ini suasana adiak batana cerah, langitnyo biru, sama anginnyo sepoi-sepoi, masa jadi mambuek urang mangubah-hubah makin rancak.
Ketika aku bangun di pagi hari, aku segera mencuci muka, menyikat gigi, dan mandi agar terasa segar dan siap menghadapi hari yang sibuk.	Urang jatuahnyo di pagi hari, urang ka dibasuh muka, ka gosok gigi, dan ka mandi, ampek rasanya nyaman jelekah ago rang menyambut harinya yang penuh urus-urus.
Pemerintah Indonesia harus memperhatikan dan meningkatkan kesejahteraan rakyatnya dengan membangun infrastruktur yang berkualitas, meningkatkan pelayanan publik yang efektif, mengedukasi masyarakat tentang pentingnya menjaga lingkungan, memperkuat sistem pendidikan untuk melahirkan generasi yang tangguh, dan menyukseskan program-program ekonomi yang berdampak luas pada seluruh lapisan masyarakat.	Pamarintah Indonesia hendaknyo majalani dan majawahkan kasoanjo rakyatnyo dengan membangun infrastruktu yang berkecambah, ngapalokan pelayanan publik yang paya, mamudahkan katarkuliahkan masyarakat tentang ido pentingnyo mapangisahkan lingkungan hijau, mamperkuihkan sinamikikan bhakti untuk mambarayo tongah lamo generasi urang nan tangeh, da mamunjuangkan program-program eko-nomi nan mangacuah sabalah lapisan
Sebelum berangkat ke sekolah, saya memeriksa tas untuk memastikan semua perlengkapan sudah lengkap, kemudian mandi, sarapan, dan berdoa agar dijauhkan dari segala bahaya selama di jalan.	Sabalun mangajakek ka sekolah, sajo sakalian mamandiakek bathin mangarukakan kantong untuk memastikan sarato ungga, mangaili tah do'a, adiangkularo sarato ndak maksai ka alun.
Saat matahari terbit di pagi hari, burung-burung terbang bebas di atas langit biru yang cerah, dan bunga-bunga mekar di taman yang penuh warna.	Pado sapagi, surya alun di sawah, ngorak nan bebas ampek di udaro langik biru nan cemerlang, dan kumbang-kumbang pun mekarak di lapuan nan panyawang warni-warni.
Saya suka makan nasi goreng di pagi hari, minum kopi hitam tiap kali bersantai, berolahraga setiap hari untuk menjaga kesehatan tubuh, dan membaca buku sebelum tidur di malam hari.	Sia suko makan nasi goreng di pagi so, minum kopi hitam tiak kali sakali santai, berolahrago setiap kali untuak ngejaga kalinduan badan, dan mangaraso buku sado tadiba di malam so.
Pagi-pagi, saya bangun dan membersihkan kamar, kemudian mandi dan memakai pakaian untuk memulai aktivitas harian dengan berjalan kaki ke kantor, di sana saya bekerja dengan serius dan fokus untuk menyelesaikan tugas-tugas yang ditugaskan oleh atasan.	Sabalunia, surang bangun dan mengomo rumah, lalu mandi dan barakar pakaian untuak mulo'i aktivitas hari-hari dengan padek ka kaantor, di sano surang tinto' rakat dan untuak tuntunto' tungguangan nu dilahia’kan oleh atasian surang.
.Saat matahari mulai terbit, burung-burung bersiul-siul riang di antara pepohonan hijau di pagi hari, angin berhembus sepoi-sepoi segar menyapa wajah, anak-anak kecil berlarian riang dalam suasana damai yang menyejukkan, sementara orang-orang dewasa sibuk melakukan kegiatan sehari-hari mereka untuk memenuhi kebutuhan hidup mereka.	.Dek hari kapek, buruang-buruang nan mainang-mainang riang di urang gunuang, angin kokokok hembusnyo mambuai ubek-ubek rimbun, anak-anak nada manusia nyabuik nyanyi-nyanyi bariak kuso dalam adat sabalunyo, surang-samaiko nan samo darang sibuk pangalaman batinyo lungo mambueh hasiak iduiknyo.
Saya pergi ke pasar untuk membeli buah mangga, sayuran segar, dan beras putih yang berkualitas untuk mengisi dapur di rumah.	Samua ka pasar, saya membeli mamangan manis-maniah, sayur lasek-lasek, dan beras putiah yang berkualitas duk ngisi dapur di rumah.
.Setiap pagi, saya bangun dari tempat tidur, bersiap-siap untuk beraktivitas, mandi, memakai pakaian yang rapi, dan kemudian sarapan dengan makanan yang saya suka.	.Setiap pagi, saya melangkah turun dari tangga dan membuka jendela untuk merasakan udara segar, mencuci wajah dan menggosok gigi di kamar mandi, kemudian mengenakan pakaian adat yang menunjukkan identitas sebagai orang Minang, dan berdoa sebelum menikmati sarapan yang terdiri dari nasi padang dengan lauk pauk yang lezat seperti rendang, ayam pop, dan gulai daun singkong.
Saya suka makan ayam, ikan, sayur, dan buah-buahan setiap hari, sebab makanan tersebut mengandung nutrisi penting untuk tubuh.	Saya kamari dikampong suka mangan ayam, ikan, lempeduak, dan buah-buahan sabalum harok, sabab manganan itulah udaik dipisingi biara-biara penting jo badan.
Seorang mahasiswa yang bersemangat belajar dan rajin berolahraga selalu memiliki kesempatan untuk meraih prestasi yang gemilang di kampus, sedangkan seorang pekerja yang penuh dedikasi dan berkeinginan keras untuk mengembangkan karirnya pasti akan mencapai keberhasilan yang diimpikannya di tempat kerja.	Satu anak kuliah yang rajin belajari dan tekun main olahrago biasanyo tapiaku lako kito akan ado peluang ngaraih kampih prestasi nan bagus di kampus, tapi satu pekerja yangajo juo sampeik nan berkeyakinan kuat untuk ngembangkan kariernyo nan indah, sahingga kapeknyo ado mipok nan katon sukonyo di lapau kari.
Di kota besar Jakarta, banyak gedung-gedung tinggi yang menjulang tinggi ke langit, lalu di kota kecil Bandung, terdapat banyak warung makan yang menyajikan makanan lezat, bahkan di kampung-kampung kecil di Jawa Barat, masih banyak orang-orang yang hidup dengan tradisi-tradisi nenek moyang mereka.	Di kota pembaharu Padang Panjang, banyak surau-surau dengan arsitektur tradisional yang masih berdiri kokoh, lalu di kota metropolitan Padang, terdapat banyak perkantoran modern yang memadukan teknologi dan budaya lokal, bahkan di nagari-nagari di Tanah Datar, masih banyak rumah gadang dengan hiasan ukiran cantik yang menceritakan sejarah nenek moyang mereka.
.Rumah tersebut besar, luas, dan megah dengan taman yang indah, kolam renang yang menyegarkan, dan teras yang luas dengan perabotan yang mewah dan modern yang membuat penghuninya merasa nyaman dan bahagia.	.Rumah ado gede, luas, dan megah jo taman nan kacak, kolam bunyik yo jalan lebar jariang pelabian nan mahal nan moderen sajai, nan nyenengkan hati nan ari sabanijo manghuni rumah sido rasani mamambuek raso puoyang.
Saat ini, banyak orang sedang mencari pekerjaan yang cocok dengan minat dan kemampuan mereka, memperoleh pendidikan yang tinggi semakin menjadi kebutuhan, dan mengikuti perkembangan teknologi yang semakin pesat.	Di ari ini, banyak urang angku mencari kajo yang galo nan batanyo nan batanye, sumando paninggaloan yang garih nan bana, dan kaikot rancangan yang makin munting.
Setiap hari di kantor, saya mengawali dengan membaca email, menyelesaikan pekerjaan rutin, mengecek rencana kerja, dan berkoordinasi dengan tim.	Setiap harinya di kantor, saya mulai dengan membaca surat, mamancak tugas-tugas pokok, mangaluruskan rencana-rencana kerja, dan mamakai koordinasi dengan urang bagian.
Sementara cuaca di Jakarta sedang panas dan lembap, para pekerja di sana harus tetap produktif dan bersemangat dalam menyelesaikan pekerjaan mereka sebelum pulang ke rumah dan istirahat; demikian juga di Minangkabau, meskipun cuaca seringkali dingin dan berkabut di pedalaman pegunungan, masyarakat setempat tetap gigih dan rajin dalam memelihara tradisi dan budaya lokal mereka untuk diwariskan kepada generasi selanjutnya.	Manjadi mangko nanduang di Jakarta sabanaro adolah panaik mancabo manih ka rumah, talah lai salahiek banyok pakaro tujuah nan batiko pada lahiai dengan panangihnyo sampai ba rokuaiknyo balang. Ase lai maing padojang Minangkabau, sapa nan bapulang ka rumah samandok malereh tabek basamo lai dio gurat di lapau kaiman, hati m
"""Dia suka makan, minum, dan bermain di taman pada sore hari ketika cuaca cerah."""	"""Dia suko makan, minum, dan mamain di taman pada soré hari apabila cuaco ba'nja nyonyo."""
Saya suka makan nasi goreng, tetapi tidak suka makan mie goreng; saya suka berkendara ke pantai, tetapi tidak suka berkendara ke pegunungan; saya suka mendengarkan musik rock, tetapi tidak suka mendengarkan musik jazz.	Saya hobi manga-kan nasi goreng, tapi indak hobi manga-kan mi goreng; saya hobi adipati ka pantai, tapi indak hobi adipati ka bukit; saya hobi masuakik album rock, tapi indak hobi masuakik album jazz.
Ketika saya pulang ke rumah, saya melepas sepatu saya di depan pintu, membersihkan rumah dari debu dan kotoran, mencuci pakaian kotor, memasak makanan yang lezat untuk keluarga saya, dan melepaskan diri sementara dari kesibukan harian.	Di awak bali pulang ka rumah, awak mangangkat kaki awak di mato pintu, nyoasi ruma dari bubuang dan kotoran, mangengkek baju babaraoke, mamanggangkan sajik babarui untuk keluaro awak, dan mangayap awak singkek dari rame harian.
Ketika langit masih gelap gulita di pagi hari, burung-burung sibuk berkicau riang di ranting-ranting pohon dan manusia-manusia mulai bersiap-siap untuk memulai aktifitas mereka, mulai dari berangkat bekerja, bersekolah, atau hanya sekedar menjalani rutinitas sehari-hari.	Dapek mapeknyo sabalun surang pagi, pacahilaran buruak-buruak kian jo hingkap di urang-rang pohon dan anaki-anaki mulai mambalino sianjuang-juangnyo untuk mulai mambalakangkan aktipitasnyo, sabalun nok marantau, lamo-lamo maikou, ateh ka baco-baco mangakan, samak kabukik sarato lauak limbaknyo.
Hari ini aku bangun pagi-pagi dan bersiap-siap untuk berangkat kerja, kemudian aku mandi dan mencuci muka dengan sabun wajah kesukaanku, setelah itu aku sarapan nasi goreng dan teh manis sebelum berangkat.	Hari nan ado ko subuh nan baritibo aku bangun dan airo ado indak ka basuo ka sajoing, lalu aku mandi dan mencuci muko pake sabun logosku, sanak dio aku sarapan nasik goreng dan teh manis sebelum iku ka kerjo.
Saya suka makan nasi goreng yang pedas, minum teh hangat yang manis, membaca buku fiksi yang menarik, menonton film komedi yang lucu, dan bersepeda di pagi hari di sepanjang jalur hijau.	Ako suko makan nasi goreng yang pedas, minum teh hangat yang manih, ndo baca buku fiksi yang aduah, ndo nanjuang film komedi yang cako, dan angkek ba jo sepeda di pagi hariorang jo kapokok panjang.
Ibu makan nasi sambil menonton televisi, ayah membersihkan rumah dan memasak makanan, anak-anak bermain di taman dengan saudara sepupu mereka, dan kakek sedang duduk di teras membaca koran pagi.	Indak putuih mancari tasipikamu dek, ayah putuih mambalai rumah dan memasak saparalak, anak tanduk putuih mamain di taman dengan budok tigo patunang, salain itu tokkek putuih mambaca koran pagi di laman.
Saya suka membaca buku tentang sejarah, menonton film seri yang mendebarkan, mendengarkan musik klasik yang menenangkan dan berjalan-jalan di taman yang hijau dan indah.	Aku suko baca buku tuntas sadonyo, nanton film seroyoh yang bikin sikik, endengakkan musik klasik yan manarik nan bikin ralieh, dan pasowanangan di hutan kayu yang bagus nan serampek.
.Saat saya bangun di pagi hari, saya selalu memulai hari saya dengan mandi, menyikat gigi, dan menata rambut saya dengan seksama, kemudian saya berdandan dan memilih baju yang cocok untuk acara atau aktivitas yang ingin saya lakukan di hari itu.	.Masa saya subuh, saya biasa mulai hari saya dengan mandi, ngelok gigi, dan memecek rambut saya dengan hati-hati, lalu sayo meghias diri dan memilih jijik yang sesuai untuak acara atawa aktifitas nan impo sayo rayekkan nganjo hari tampek nan ado.
Setelah ia menyelesaikan tugas-tugasnya di kantor seperti membuat laporan, membalas email dari klien, dan mengatur jadwal pertemuan, ia pergi pulang ke rumah untuk mengurus anak-anaknya, membantu istri memasak, dan membersihkan rumah.	Situjuah anak laki-laki nan kacak kini susuk nangka angin di tepi sawah sambil nyo-bilang ka surangkalik kulua nan indah, di bawah ranti nan syahdu, sambil nyanyi lagu daerah nan merdu.
Saya menikmati cuaca yang cerah, memandangi langit biru yang cerah, menyentuh angin yang sejuk, merasakan sinar matahari yang hangat di atas kulit saya, dan mendengarkan suara alam yang indah di sekitar saya.	Saya nanikmati hawa nan cerah, manatap langik nuno biru nan cerah, menggaiik angin nan dingin, menuruh rana matahari nan hangat di aluang kaki saya, dan manguraikan bacapak alam nan indah di urgai saya.
Ayah membeli beberapa sayuran di pasar, ibu sedang mencuci piring di dapur, anak-anak sedang belajar di ruang tamu, sedangkan kakek sedang membaca koran di teras rumah.	Bapak mangon belian sayur-sayuran di pasar, inyo (ibu) pangarapan loi-lai di dapur, anok-anok mangadua belajo di ruang kapalo (tamoe), tagak (kakek) ado mugai mambaca koran di serambi rumah.
.Ketika matahari bersinar terang di pagi hari, burung-burung kicauan merdu mulai berkicauan dengan lantang di pepohonan yang rindang, manusia-manusia sibuk mulai berjalan menuju kantor-kantor dan sekolah-sekolah mereka, serta suara kendaraan bermotor yang bising mulai terdengar di jalan-jalan raya.	.Masa suria mencorong rancak di waktu pagi, unggau-unggau puang yang nyojorai nan merdu mulai menjayakan suara nyaringnyo di bamban jaduang nan rantih, urang-urang bariak mulai mamandang kekantor-kantor serta tabek-tabek merekan, jua sutoi-sutoi taringgo bising urek baa mulai dosikorean singgah di jalan-jalan urang.
.Saat itu, dia sedang berada di kantor memeriksa dokumen-dokumen penting, sementara istri dan anaknya sedang berada di rumah memasak makanan yang enak dan merapikan taman di belakang rumah.	.Ari nan barankato, dia ada di kantor meneliti kertas-kertas pacahan penting, sementaro bini jo anaknyo ado di rumah manggong balado manis jo mambuang taman di balatee.
.Hari ini, saya harus memasak makan siang untuk keluarga, mencuci pakaian, membersihkan rumah, melakukan pekerjaan kantor, dan juga mengambil anak-anak dari sekolah.	.Hari indaknih, sayo mambuatkan hidangan makan siang untk keluargo, mencuci bajok, mancari rumah, manjalankan kantor dan juga mangambil anak-anak dari sekolah.
Kemacetan di jalan selama puluhan kilometer, harga bahan kebutuhan pokok yang semakin mahal, serta cuaca yang tidak menentu seringkali membuat kehidupan di kota terasa sulit dan tidak nyaman bagi banyak orang.	Kemacetan di jalan selama puluhan kilometer, harga bahan kebutuhan pokok yang semakin tinggi, serta cuaco nan tangkok banyak kali manguruskan urang nan tinggal di koto raso nyampek maibanakan.
Saat tiba di stasiun, saya membeli tiket, menunggu kereta, memeriksa jadwal, dan berbicara dengan petugas.	Apo tatkala sampe di stasion, satek mambeli tiket, mamanggoni kereta, mamparikso jadwal, lai mamumuniak kato ka petugas.
Saya suka makanan tradisional seperti rendang, nasi goreng, sate, dan gado-gado yang mempunyai rasa yang lezat dan kaya akan bumbu-bumbu rempah yang membuat lidah saya bergoyang.	Raso sayo paucak makanan padang kayo, kayo rendang, nasi goreng, sate, dan gado-gado nan koperasan tabia nan pitiak-pitiak nan membuat lintik dangkek mangko tongah-tongga.
Hari ini, saya akan bangun pagi, berolahraga, mandi, sarapan, pergi kerja, mengerjakan proyek, menghadiri pertemuan, memeriksa email, bertemu klien, melakukan presentasi, menjawab telepon, menyelesaikan tugas, kembali ke rumah, berbelanja kebutuhan rumah tangga, memasak makan malam, menonton film, dan tidur.	Hari inyo, sajuo akan bangun pagi, berolahrago, mandi, meranko, marik ranto, marangih proyek, (mbakeknye sajuaknyo), mengunjong rapat, mambaco surat surat, marie indak ka klien, merinduak presentasi, mambalaso talafo, mamambarokan tugaso, pongok ka daruiko, mangarano-barano batangan siriah, magarampik sarato, marusokkan film, dan mati.
Hari ini,jalan tol banyak kendaraan yang lewat, orang-orang sibuk bekerja di kantornya, pasar-pasar ramai dikunjungi para pembeli, lapangan bola dipenuhi oleh pemain dan penonton yang menonton pertandingan, dan cuaca masih panas terik.	Dihari nan samalam, gubuk-gubuk di balai-gadang kabanyakan sumando panuah tajadi, bajalan-bajalan di kampuang ponahnyo atiik tamingguang bulek, pusako-pusako nan muit babuangan ribuik maan nan dicarinyo, anak sapayuang nan modik ampek rusto ambyok disiplin nak mambaca kasonyo, dan ciek-ampek suko ado panah dipusaro mangkudo guno.
.Pemerintah Indonesia telah memutuskan untuk memberikan bantuan sosial kepada masyarakat yang terdampak oleh pandemi virus corona dengan cara menyalurkan program bantuan sembako dan uang tunai yang diambil dari Anggaran Pendapatan dan Belanja Negara (APBN) serta menyebarluaskan informasi mengenai protokol kesehatan yang harus dipatuhi untuk mencegah penyebaran virus corona.	.Pamarentah Indonesia ado ndak muliharan untuk madidikka bantuan sosial ka sadonyo nan saampak ka pandemi virus corona panalusirkan sabalun dugaan bantuan sembako dan duit tunai nan manggubasikano dari Anggaran Pendapatan dan Belanja Negeri (APBN) salain duo manjapuahkan kaimbangan bahaso nan moyang duduakan protokol kasanteroan nan kankito bagi mamainan pandemi virus corona.
Ketika saya sedang berjalan-jalan di taman sambil menikmati sinar matahari yang terbit di pagi hari, ayam jantan sedang berkokok di halaman rumah sambil mencari makanan dan anak-anak kecil bermain di kolam renang sambil tertawa riang.	Tabia bicharo di taman sambil mambuek duriang lalok mananti di pagari, ayam nan jantan baaso mandraqi di halaman rumah sambil mangasoi sarapan dan anak-anak udaik lamo dolok manungkoi di kolam renang sambil murmuliaka tawa ceria.
Saat cuaca mulai dingin dan angin semakin kencang, orang-orang di sekitar pantai mulai berlindung di dalam rumah mereka, sementara petani-petani di pedesaan mempersiapkan kebutuhan mereka untuk musim hujan yang akan segera tiba.	Sabana cuaco cukup lamo mambuat dingin mancorong dan bapilin jadi mambuat kokoh, urang-urang di dabo-dabo pantai bakato marunduang diri didalam balai-balaiknyo, sementaro pakampoan-pakampoan di nagari manganduangkan kanapoan-pangannyo untuak musin bajan yang damo saking badinyo.
Setiap hari, aku bangun pagi-pagi dan pergi ke gym untuk berolahraga; kemudian, aku mandi dan memakai baju untuk pergi ke kantor; di sana, aku bekerja selama delapan jam dan kadang-kadang harus lembur hingga malam; setelah itu, aku pulang ke rumah dan makan malam bersama keluarga sebelum akhirnya beristirahat dan tidur.	Setiap harinya, aku saliendo pagi-pagi dan mamancok ke gym untuk mampek sesko; sado, aku menciak dan mayau pakai ubat diiilek pako ke pasar; dalam sopanik, aku bekerja selama delapan jam dan adiak sado sapelei malam; sejatuik, aku baliang ke rumah dan makalau malam sambil ngalakui addiak sebelah sebelum uda bapelepauang dan turun tidu.
Ayah membawa saya ke pasar tradisional untuk membeli bahan makanan yang segar, sedangkan ibu menunggu di rumah untuk memasak hidangan khas daerah setiap hari.	Bapak bawayo anak sada ka pasar lamo untuak mamimang bahan makanan singkek, sakaliang ibu halai rumah nalimo masak sajian khas nagari setiap harinyo.
