Indonesian	Sundanese
Hari ini Cuaca sangatlah panas, kemudian aku memutuskan untuk membeli sebuah es krim dengan rasa coklat di toko yang memiliki diskon besar-besaran, tetapi ternyata ketika aku mencoba es krim tersebut, masih terasa manis dan menyegarkan di tengah panasnya cuaca siang.	Mangga ieu, hayu dina cuaca karas meureun aku enténa pikeun ngahiji es krimna rasa coklat di toko nu aya diskon gédo dulur, tapi teu katingali sangkan es krimna, masih geuséur nireup manis sareng boga rasa yang ngaleusikeun ditengahé ngaharasna panon poé siang.
Saya membeli baju, celana, dan sepatu baru untuk acara pernikahan teman saya yang akan diselenggarakan besok di hotel mewah di tengah kota.	Abdi meuli baju, celana, sareo anyar pikeun acara perebuahan sahabat abdi anu kagiatan dina sababaraha ngorbitna di hotel nu dulur di tengah kota.
.Lalu, ketika aku selesai menyelesaikan rapat di kantor, aku langsung pergi ke tempat gym untuk berolahraga, setelah itu aku melakukan belanja bulanan di supermarket, dan akhirnya aku pulang ke rumah untuk memasak makan malam bagi keluarga saya.	.Saterusna, sanggeus abdi aya rapat di kantor, abdi langkung teu ulah ka gedung gym pikeun ngajalankeun olahraga, salajengna abdi ngalaksanakeunngeun belanja bulanan di pasar, sareng puguhna abdi balik ka batur pikeun ngapulangkeun masakan sayur jeung ikan pikeun keluarga saya.
Para pedagang pasar tradisional pagi-pagi sudah ramai-ramai mempersiapkan dagangan mereka sambil berbincang-bincang dan tertawa-tawa, sembari sebagian penjual mulai membuka tenda mereka untuk menampung pengunjung yang memadati pasar tersebut.	Para pedagang baso pasana pagi-pagi geus açaya-seraya nyiapkeun dagangna sarta berbaluk-baluk sareng nyerep-seleh, pai hijina sejen ngeuyeutkeun pedagang anu nyumputkeun tendana pikeun ngagaduhan para tamu anu bari datang ka pasar ieu.
.Ibu membeli beras, sayur-sayuran, daging sapi, dan ikan di pasar, lalu membersihkannya, memotongnya, dan memasaknya di dapur untuk dihidangkan kepada keluarga di meja makan.	.Indung njeungkeun gabah, laksaikan kana, walungan ihii, sarebu ikan, di pasar, lalu mariosan, ngawekasan, sareng ngadadosan di dapur pikeun diraraga sok ka diri pikeun dihidangkeun ka kabédan ku keluarga.
Saya suka makan nasi goreng dengan telur dadar dan sambal pedas, minum teh manis hangat, dan menonton film horor di malam hari.	Abdi resep kaoléh nganékakeun nasi goreng sareng telor dadar jeung sambal pedas, ngalëungit téh manis panas, sareng nyaksian film horor dina poék malem.
Saya suka makan nasi goreng, mi goreng, dan sate kambing yang dibakar dengan sempurna pada malam hari di restoran favorit saya di kota ini.	Abdi sarenggeusangan makan nasi goreng, mi goreng, sarta sate kambing nu datangan saking barudak yang dipadamkeun sagala salerekana poék dina di warung ngalir réwang abdi di kota ieu.
Di pagi hari ini, saya bangun dari tidur yang nyenyak, kemudian membersihkan diri, mengenakan baju, dan menikmati secangkir kopi di teras rumah sambil menikmati udara segar.	Di waktu pagi ieu, abdi dahar tina tidur alus, terus ngabersihkeun diri, nganakeun baju, sareng nikmati satu gelas kopi di teras kaliyan meuli kareremitan haseup.
Ketika cuaca panas, saya suka minum air dingin, menikmati makanan segar, dan bermain dengan teman-teman di taman.	Upami hujan cimurup, abdi geus keur geus deudeuh air panas, mimitian nyegah dalapan di tempat aduh-temen, sareng ngajak wargi séétra kanu kusabab témpo tempoeun.
Pemerintah Indonesia mempunyai peran penting dalam menciptakan ekonomi yang mandiri, berkeadilan, dan berkesinambungan untuk semua rakyatnya; Pemerintah Indonesia juga harus mencegah segala bentuk diskriminasi dan berusaha memenuhi hak-hak asasi manusia bagi seluruh warga negaranya; Selain itu, Pemerintah Indonesia harus mendukung perkembangan pendidikan yang berkualitas dan memberikan akses yang sama bagi semua anak Indonesia.	Pamaréntah Indonésia meunteun kamanfaatan dina ngajalankeun kawasa ékonomi nu mandiri, béreksikalir, jeung berkelanjutan pikeun sadaya rakyatna; Pamaréntah Indonésia oge kudu ngantosan kahijiwan diskriminasi sareng ngalaksanakeun hak asasi manusa pikeun sadaya warga nagarana; Sanajan éta, Pamaréntah Indonésia resep m
Setiap pagi aku bangun pukul enam, lalu aku mandi dan sarapan sebelum pergi bekerja di kantor di pusat kota.	Setiap pagi abdi teuget bangun jam enam, leres abdi mandi sareng sarapan dahulu sateuacanna pikaresep ka kantor di pusat kota.
.Pemerintah Indonesia telah menetapkan kebijakan pembatasan sosial berskala besar untuk mencegah penyebaran virus Covid-19 di seluruh wilayah Indonesia, sedangkan para tenaga medis terus bekerja keras melakukan perawatan dan pengobatan terhadap pasien yang terinfeksi virus tersebut.	.Pamarentah Indonésia geus ngadamel kabijakan pembatasan sosial skala gaduh pikeun ngahonteleun pangsebaran virus Covid-19 di sakabéh daérah Indonésia, taya tenaga médhis téh mapar dumasari ngeusian na ngobatan jeung ngabenerkeun pasien anu kadadéyan teu kana naya dari virus éta.
Sementara para siswa di sekolah belajar matematika, guru mereka memberikan penjelasan yang terperinci tentang rumus dan contoh soal yang berkaitan dengan topik yang sedang mereka pelajari.	Ngaran siswa nang sekolah ngalirkeun matematika, guru-guru mere hapuntena petunjuk nu rinci ngenani rumus jeung conto soalna nu kasohor deui sareng topik anu tengah parantos kaolahkeun ku siswa-siswa aya.
Pelajaran yang saya pelajari di kelas matematika adalah tentang perhitungan geometri, aljabar, dan trigonometri yang sangat berguna dalam kehidupan sehari-hari serta untuk menunjang karir di bidang teknologi dan ilmu pengetahuan.	Karekagama nu aya di kelas matematika nyaéta babagan perkawiséan geometri, aljabar, sareng trigonometri nu teu resep katingali damel di luhur sapurta kaitungtuluyan karir di bidang teknologi sareng ilmu pangajaran.
Pada hari Minggu, saya biasanya bangun pagi-pagi, lalu mandi dan sarapan pagi dengan nasi goreng, kemudian berolahraga di taman sekitar rumah dan pulang kerumah untuk bersih-bersih rumah dan kemudian menonton film favorit bersama keluarga.	Dina Ahad, abdi biasana matekelan kenging sapo gede-gede, terus willu ogé mandi sareng sarapan pagi ngan nasi goreng, upami geus ayeuna abdi mangelolahraga dina parampangan deukeut rumah sareng baheula pulang kerumah kanggo bérsih-rapél rumah sareng terus nonton film wates sareng keluarga.
Saya seorang asisten virtual yang di-program untuk membantu tugas-tugas kantor dan berkomunikasi secara efektif dengan pengguna, saya menggunakan kecerdasan buatan agar mampu memahami perintah dan memberikan saran yang tepat waktu serta mempertahankan database yang akurat dan terjamin keamanannya.	Abdi mangrupa asisten virtual nu di-program kanggo nyokong tugas-tugas kator katémbong sareng ngahubungan tina anggota, abdi ngagunakeun pintar buatan pikeun bisa nambahankeun perintah sareng ngabantoskeun sarebu sareng ngajaga databasena ngeunaan sarebu sareng kawatesan.
Selama liburan nanti, saya akan pergi ke pantai, berjemur di bawah sinar matahari, bermain air laut, mengunjungi tempat wisata sejarah, membeli oleh-oleh, dan mencicipi berbagai hidangan khas daerah.	Saatos liburan nanti, abdi bakal kadua ka pantai, ngajemur di handap sinar matahari, maen kelapa laut, njalmaan teritori wisata sejarah, mimitian oleh-oleh, sareng ngalayani maca sae kerajinan daerah.
.Ketika Senja mulai menyapa, langit di ufuk barat memperlihatkan warna merah jambu yang indah, rasa damai dan tenang menyebar dalam diri, seiring dengan jatuhnya daun-daun kering pohon di sekitar, dan alunan musik klasik yang merdu memenuhi ruangan.	.Tina waktu maghrib acan éta, langit didakan barat wénangkeun béda pink manggung nu alus banget, kacepetan sareng sesukan daun-daun séréng geus katon, jeung paugeran rékaman klasik nu enak diandapkeun témpat duduk.
.Saya senang berjalan-jalan di taman, menonton film di bioskop, makan makanan lezat di restoran, membaca buku di perpustakaan, dan bermain game dengan teman-teman saya.	.Abdi sanes senang jalan-jalan deui di taman, ningali film di sinéma, ngajajahkeun saé amoja di rumah makan, muter-muter daangan nefo di perpuštakaan, sareng taya sémiaran jeung sahabatna.
.Kita harus memperhatikan kebersihan lingkungan sekitar kita, memungkinkan tanaman untuk tumbuh subur, menjaga keseimbangan ekosistem, dan menghargai semua makhluk hidup yang ada di dalamnya.	.Kuring kudu miasa nganjuk kebersihan lingkungan nu aya dina sekitar kuring, nyieun sia kembang tumbuh manusa, ngajaga kaparigelan ekosistem, sareng ngahargai sadaya urang hidup nu aya di dinya.
Saya suka makan nasi goreng, mie goreng, dan ayam goreng di warung makan sederhana di pinggir jalan yang ramai.	Abdi teu kangen ngedagang nasi goreng, mie goreng, sarebu, teh tempe, jeung urap pisan ka warung nangtang sarta ramai di jalan raya.
"""Saat ini, banyak orang yang bekerja keras untuk mencapai cita-citanya, belajar dengan tekun demi mengembangkan potensi diri, mengambil risiko untuk mencoba hal baru, dan bertanggung jawab atas tindakan yang diambil."""	"""Ayeuna, rame masyarakat nu ngadamel kerja keras pikeun nyieun kapentinganana, ngajalankeun hardi pikeun ngabuka kaayaannya, ngalebetkeun resiko pikeun ngajajahkeun hal anyar, sareng nganjenakeun tanggung jawab pikeun acan nu jalma nyieun."""
.Hari ini, saya bangun pagi-pagi untuk melakukan olahraga, bersih-bersih rumah, dan mempersiapkan diri untuk menghadapi hari kerja yang penuh tugas dan tanggung jawab.	.Sateruseun ining, abdi ceukay pagi-pagi pikeun nyokeng olahraga, ngeureuyeuh rumah, sareng nyiapkeun diri pikeun ngadepkeun kahirupan kerja nu betah kedah dipundut sareng tanggung jawab.
Ketika aku bangun pagi-pagi dan melangkah keluar rumah, aku mulai merasakan aroma kopi yang menggoda, mendengarkan suara burung berkicau indah, melihat matahari terbit di ufuk timur, dan merasakan udara yang segar di wajahku.	Sanggeus abdi lilis pagi-pagi tur manehna nagih kopi nu beuki, ngerarasa suara manuk nu kapalang mumun, majotha panonpoan di lautan wus, sareng ngerasa angin nu seger dicuwitkeun ka wajah nu.
"Saya sedang belajar menulis sebuah novel yang berjudul ""Mimpi-Mimpi Terlarang"" di kamar yang tenang, dengan latar belakang musik yang lembut dan harum aroma kopi yang menguar di udara."	"Aku tengah peryogikeun mangarang dina babarengan, ""Angan-Angan Téhlarang"" dina kamar anu bisi, sareng latar musik anu manis sareng bau kopi anu unik-raropat sarta menyebar dina awan udara."
Pada saat pagi yang cerah, di mana matahari sedang bersinar terang, banyak orang mulai beraktivitas dengan bersepeda atau jogging di taman, sementara di pasar-pasar tradisional, para penjual buah dan sayuran segar mulai mempersiapkan dagangan mereka, juga di perkantoran, para karyawan sibuk menyelesaikan tugas-tugas mereka.	Di waktu pagi nu mereng dimana mentari weleh-weleh dimana cukup terang, seueur orang ngawitan ngecekuk kahirupan ku nagara sapésé pepasan atanapi ngajogging-teuingan dina taman-taman, samentara di pasar-pasar tradisional, pedagang bébiji sarebu segar urang-urangan ngajaga dagangan deui, ogé di kantor-kantor karyawan ngabantun tugas kakawasaan.
Saya suka berenang di pantai, berlari di taman, dan membaca buku di kafe.	Abdi kersa nangtung di pantai, ngadegak di taman, sareng ngeuyeut buku di kafe.
.Dia bekerja keras di kantor dari pagi hingga sore, mengurus dokumen, mengirim email, dan melakukan tugas-tugas manajerial yang diemban olehnya. Dia juga rajin mengikuti pelatihan dan seminar untuk meningkatkan kemampuan kerjanya.	.Nyaéta beja kaasup di kantor ti pagi saméméh sore, nguruskeun dokumén, ngirim e-mail, sareng nyandak tugas manajerial nu jadi tanggung jawabna. Nyaéta ogé sering ngikut pelatihan sareng seminar pikeun nambah kana kampilan pangabéhanna.
Pagi tadi, saya pergi ke pasar untuk membeli sayuran segar, lalu saya pergi ke toko buku untuk membeli novel terbaru, dan akhirnya saya ke toko elektronik untuk mencari laptop yang cocok untuk kebutuhan saya.	Asep kahontuan dipiara ti ayun-ayunan di sawah, aya pisan teuasan ti ayana jeung diajar ngarajih dakwah di masjid, oge asep disindoheun tina kecap buntut mangkat di kawasa pasar.
Apabila kamu ingin pergi ke pantai, kamu harus membawa perlengkapan yang cukup seperti handuk, sunscreen, dan pakaian pantai yang nyaman; kamu juga harus mengecek cuaca terlebih dahulu dan memastikan bahwa kondisi air pantai aman untuk berenang.	Upamana anjeun hoyong maén ka pantai, anjeun kedah nyigorkeun peralatan anu cukup kyubo handuk, sunscreen, sareng pakaian pantai nu enak dipakeun; anjeun ogé kudu mengecek cuaca baheula jeung ngabuktikeun yén kondisi nirmalakeun aman pikeun ngaberenang.
Saya suka makan nasi goreng pedas, minum jus apel segar, dan berolahraga di pagi hari untuk menjaga kesehatan tubuh saya.	Abdi meceng tatak nasi goreng rica, mariring segar tumbuh apel, sareng ngeurkeun olahraga di sarengah ayeuna pikeun ngajaga kahartosan geusarna.
Saya akan pergi ke pasar untuk membeli beras, telur, minyak goreng, dan sayuran segar karena besok akan memasak nasi goreng yang lezat untuk keluarga saya.	Abdi bakal datang ka pasar pikeun ngabeli beras, telur, minyak goreng, sareng sayur segar sabab dina panyeneng ngarang nasi goreng asyik pikeun kauluarga abdi.
Saya sangat menyukai makanan yang sehat dan bergizi, menghabiskan waktu dengan orang-orang yang saya sayangi, dan melakukan olahraga untuk menjaga kesehatan tubuh saya.	Aing sanes teh kénca makanan nu ngaropéa jeung nutrisina, ngarésapi wénten-wénten nu aing kahayang, sareng ngeunaan olahraga pikeun ngajaga kalawan kasehatan badan aing.
Setiap orang memiliki hak dan kewajiban yang sama dalam menjalani kehidupan yang beradab dan sejahtera, serta bekerja sama sebagai satu bangsa untuk mencapai kemajuan dan kesejahteraan bersama.	Sagala urang gaduh hak sareng kawajiban nu saé dina ngalakukeun hirup nu béda-beulah jeung sejahtera, sareng ngeunaan kaasupan sabudeureun salaku hiji bangsa sungtalam kapanggihén nuju kemajuan sareng kesejahteraan sareng-sama.
.Banyak jenis tumbuhan di hutan tropis seperti pohon, semak, herba, liana, dan dedaunan lebar yang memberikan habitat bagi berbagai jenis fauna seperti burung, kera, harimau, kancil, dan ular.	.Kawih pepeling di hutan tropis dina pahambak, teraslite, seuseul, kembang, sarebu, sarendeukna nu ngajaga habitat kana saronjana fauna mangrupa burung, siamang, harimau, ancit, sareng ular.
Saya sedang belajar bahasa Inggris, membaca buku sejarah, menonton film, dan memasak makanan lezat untuk keluarga serta bertanya-tanya tentang ke mana saya akan pergi di akhir pekan.	Abdi sanesna ngajalankeun basa Inggris, ngabaca buku sejarah, nonton film, ngumut makanan enak pikeun kulawarga sareng kedah ngajaba mun kumaha sarengna nyaéta kaping weeks.
"""Kita harus rajin belajar, mengikuti perkembangan zaman, mengejar cita-cita, dan berjuang untuk memajukan bangsa dan negara."""	"""Kitu kahiji gaduh waktos panyakitan, ngabantos ka perkembangan zaman, ngajantenkeun cita-cita, sareng ngabogaan sareng lobaan, geunggeulis sareng ngalangkungkeun bangsa sareng negara."""
Selama musim panas, aku suka berenang di pantai, menjelajahi gunung, dan mengunjungi tempat-tempat wisata yang menarik.	Kumaha panas,pun silih ka jambu dalam pantai, ngalanca-gunung ka anu lumayan, sareng nuntingkeun tempat-mangrupi turis anu anyar.
Orang-orang tersebut menggunakan baju-baju baru, tas-tas mahal, dan sepatu-sepatu berkualitas tinggi untuk menghadiri acara pernikahan tersebut.	Urang-urang éta make baju-baju anyar, tas-tas mahal, sareng sepatu-sepatu anu bébas kualitasna pikeun menta hadir keur acara nikahan éta.
Saya suka bermain sepak bola di lapangan, makan makanan enak di restoran, dan menonton film di bioskop bersama teman-teman.	Abdi rek ngarasa senang main bal, nambahan nyaéta makanan enak di warung, sareng nganak nginakkeun pilem di bioskop sareng sahabat-sahabat.
Hari ini, saya bangun pagi-pagi dan langsung bersiap-siap untuk menunaikan ibadah shalat subuh di masjid terdekat, kemudian saya mandi, sarapan, dan berangkat ke kantor dengan membawa laptop dan tas kerja.	Dina ieu, abdi ngadisepi kaungkulan sareng sigana ngan samping ngajalari solat subuh di mesjid nu patali, tiasa abdi ngalungsur, ngamandel, lan ka kantor dijieun sareng ngabawa laptop sareng lumpat béja.
Saya suka makan ayam goreng, mie goreng, nasi goreng, dan sate ayam di warung-warung kecil yang terletak di pinggir jalan.	Abdi gera beungeut nyemil ayam goreng, mie goreng, nasi goreng sareng sate ayam dina lepat-lepat cilik nu ayeuna moh cita-cirikan dirumah jalan.
Hari ini saya bangun pagi-pagi, membersihkan rumah, menyiapkan makan pagi, mandi dan berdandan, lalu pergi ke kantor dengan menggunakan kendaraan pribadi.	Dinten ieu abdi ngalarapkeun kaluar ti bedil meuli, nerapkeun rumah, ngabedakeun sajur pagi, ngamandel sareng keur ngancong ka kantor kalayan ngagunakeun kendaraan priangan.
Pada pagi hari yang cerah ini, saya bangun dari tempat tidur, lalu mencuci muka, menyikat gigi, mengenakan baju dan sarung, serta mempersiapkan diri untuk melaksanakan aktivitas harian.	Di pamiaran poé ucap hari nu luhur ieu, abdi didakan kana pos pisan, laléangan mangeng-geng muka, nyikup gigi, nyatuang kaayaan sareng sarung, sabaraha-sabaraha mah nyiapkeun diri kanggo naroskeun aksés harian.
.Saat melihat pemandangan di tepi pantai, saya merasa tenang dan bahagia karena angin laut yang sepoi-sepoi melambai dan deburan ombak yang menenangkan, serta warna biru laut yang menyejukkan mata.	.Nga-jigana nempo pemandangan di tepi pantai, urang ngan murag sangkaning rejeki sareng mipangkuhan jaba panineungan pikeun angin laot nu oge, dan jaga ombak nu ngarasa kontruk pisan, sarta warana laot nu barudak bagéa naon sarengoray ku mata.
.Dalam perjalanan liburan akhir tahun kemarin, saya mengunjungi berbagai tempat wisata yang indah dan menarik, seperti pantai dengan air laut yang jernih dan pasir putih yang lembut, gunung dengan pemandangan alam yang spektakuler, serta kota-kota dengan bangunan bersejarah dan budaya yang kaya.	.Dina panganteur liburan barudak taun kaakhir, abdi parigung ka tempat wisata nunjul sareng sangar abdi peryogi saseupan, ka anteng ka mangsa naon naon, saputangan saputangan ku alit naon ngan lembut, gunung ku panorama alam nu paling heubeul, sabudeureun ku bangunan sejarahna sareng budaya nu munjul.
Ada banyak alasan mengapa kita harus menjaga kebersihan lingkungan mulai dari mengurangi polusi udara, menghindari banjir, sampai menjaga kesehatan masyarakat karena bebas dari penyakit.	Aya manyaran panjelasan nu bakal ngabagi kitu ngapdet bumi sacara teratur, tina ngurangan polusi udara, eta ngahindari banjir, ngajaga kasehatan kahirupan maranehna sareng masyarakat pikeun bebas tina wawu.
Hari ini aku bangun pagi-pagi sekali, lalu lari di taman selama setengah jam, kemudian mandi dan sarapan dengan telur dadar, lalu berangkat ke kantor dengan motor.	Dinten ieu abdi munggah sareng awal-awal, sareng ngeureunkeun di taman sabanjureun wengi, tara mandi sareng sarapan kalapa dadar, sareng mawa ka kantor kalurat motor.
.Kita harus selalu memperhatikan pola makan sehat, mengonsumsi buah dan sayuran segar, memperbanyak minum air putih, dan berolahraga secara teratur untuk menjaga kesehatan tubuh kita.	.Kita kudu ngajagaan tingkahe makan sehat, ningali beureum jeung kawit segar, ngagandengkeun ngadangu air putih, sareng ngeuyeuk olah raga jeung rutin pikeun ngajagaan kawas-anan jasad urang.
Saya menyukai makanan yang pedas, manis, asam, gurih, dan sehat karena saya percaya bahwa makanan yang baik dapat mempengaruhi kesehatan tubuh dan pikiran kita serta memberikan kebahagiaan dalam hidup.	Abdi nyukina sajarah makanan anu asin, manis, asam, gurih, jeung sehat sabab abdi caya yen makanan anu alus bisa ngawengku kahareupan sareng nyenengkeun hirup urang kaayaan jeung jiwa urang.
Ketika saya bangun di pagi hari, saya langsung membersihkan diri, memasak sarapan, dan mempersiapkan baju untuk pergi bekerja.	Sanggeus abdi geus kumaha di kahiji kalakuan mangsa pagi, abdi langsung nyamir, nyemil ayeuna, sareng nuprep-prep pakaian pikeun pergi ngarobah.
Hari ini saya akan pergi ke pasar untuk membeli bahan makanan dan kemudian ke toko buku untuk membeli beberapa novel yang menarik, lalu saya akan pergi ke gym untuk berolahraga sebelum pulang ke rumah untuk memulai pekerjaan saya.	Mangga ieu sareng calana kuring mimitianang pasar pikeun ngawangun bahan pangsaheun jeung luhureun ka toko buku pikeun mayarkeun beberapa novel nu asyik, naha kuring urang ngagunakeun loba di gym sareng pulang ka luhur pikeun ngamimitianang rongrongan kuring.
Saya suka makan nasi goreng, mie goreng, bakso, dan ayam goreng setiap kali saya merasa lapar di rumah.	Abdi saha nyamil nasi goreng, mie goreng, bakso jeung ayam goreng tiap kali abdi geus lapar di ruma.
Hari ini saya bangun pagi-pagi sekali, lalu membersihkan rumah dan memasak sarapan dengan sayur-sayuran segar, kemudian berolahraga di taman sebelum pergi kerja.	Mangga hayu sajarangan, dina ieu abdi ngaguné linggarankeun alapan kana rumah sareng nyumput sarapan nu aya sayur-sayuran segar, terus olahraga di taman sateuacanna mimiti pidangan kana kerja.
Saya ingin pergi ke pasar untuk membeli sayur, daging, ikan, telur, dan buah-buahan, karena saya ingin membuat masakan yang sehat dan lezat di rumah.	Abdi hoyong majalengka ka pasar pikeun ngahedah sayur, daging, iwak, telur, sareng buah-buahan, ngan éta abdi hoyong néangan masakan nu sehat sareng sedep di pondok.
Saya akan mengunjungi teman-teman, membeli bahan-bahan makanan di pasar, dan membersihkan rumah setiap hari selama liburan.	Abdi bakal ngunjungkeun kawan, nyambangkeun bahan pangan di pasar, sarebuhan rumah tiap waktos masarakat pasrah.
Saya sedang menonton film di televisi, sambil mengunyah keripik kentang dan meneguk minuman dingin, ketika tiba-tiba hujan deras turun dari langit.	Abdi lagi leumpang meunang nonton film di télévisi, sapeuting motoangsor pahilir kentang sarta mayalorek panonpo kawir, nyaéta wéh turun loba nyungsep ngandel ka langit.
Hari ini saya pergi ke pasar untuk membeli buah-buahan segar seperti apel, pisang, jeruk, dan anggur, kemudian saya juga membeli sayur-sayuran seperti bayam, kol, tomat, dan wortel, serta barang-barang lain seperti beras, gula, telur, dan daging sapi.	Mangga ieu kuring bade sareng ka pasar pikeun ngabélkeun buah-buahan anu bébas, saperti apél, pisan, jeruk, sareng anggur, lantas kuring ogé ngabélkeun sayuran séperti bayam, kol, tomat, sareng wortel, sareng kalawan barang sanésna saperti beras, gula, telor, sareng daging/orok sapi.
Aku pergi ke toko, membeli beberapa barang, lalu pulang ke rumah dengan membawa tas belanjaan yang penuh.	Abdi nyarita ka poék, nyéwèdkeun sababaraha barang, terus geus ngalakukeun ka panyawa ka réumah sacara nangtung dina ngabawa tas belanjaan nu puguh.
Saya suka makan nasi goreng, mie goreng, dan mi ayam karena mereka memiliki rasa yang enak dan mudah disajikan.	Abdi suka mangan nasi goreng, mie goreng, sareng mi ayam lantaran wungkulna saeutik sareng gampang dijieun.
Pada saat saya sedang menikmati indahnya pantai, teman-teman saya sedang menikmati keindahan pegunungan, sedangkan keluarga saya sedang menikmati kesejukan danau.	Saatos kitu abdi lagi nyandak keunikan pantai, rengse temen abdi lagi nyandak kahayangan gunung, nanging saurang-kah saurang wargi sanes padahal lagi nyandak kasejukan waduk.
.Ayah sedang memasak semangkok mie kuah yang berisi banyak sayuran dan telur, sementara ibu sedang membersihkan rumah dengan menyapu, mengepel, dan menata ruangan agar terlihat rapi dan bersih.	.Bapa ngahiji kecap mie ajyati nu aya bilih sayuran sareng telur, sabab indung ngahiji nyapu, nyapuh, sareng nerapkeun ruangan supaya teu runtut sareng tempatna sapertosna.
Kami belajar di sekolah setiap hari, membaca buku, menulis catatan, dan mengikuti pelajaran dengan sungguh-sungguh.	Kami nyarios di sekolah setiap wengi, mungbalari buku, ngalangkungan catetan, sareng ngawasa pelajaran sareng kuat.
Beberapa anak-anak itu suka makan es krim, memainkan permainan video, dan menonton film animasi.	Anjeunna leungit miang es krim, ningali permainan video, sareng nonton film animasi.
Saya pergi ke pasar untuk membeli beras, sayur, daging, dan bahan-bahan masak lainnya. Saya kemudian pulang ke rumah untuk menyiapkan makanan yang akan dimasak dan disantap bersama keluarga di malam hari.	Abdi ke pasar pikeun nyokot beureum, sayur, daging, sarebu bahan masakan lianna. Abdi teu leres jeung ka hareupeun mana boga ti dijieun, yen wayah nepi ka gapura tetangga sok disalapan supaya bisa ngayakeun cicing sama keluarga di pondok.
.Saat aku bangun pagi-pagi dan melangkah keluar rumah, aku dapat merasakan semilir angin yang sejuk dan memikat di wajahku, menyapa telingaku dengan bisikan lembutnya, dan menebar aroma khas daun-daunan hijau di sekitarku.	.Geura atuh abdi nyampeureun zaman mahagiya, ogé abdi budal ngabantun kabecikan boh jimpar anu resik jeung mesem sareng mate pamajikan, manca sabi pikeun jantung abdi, ngajaga keur teu ngaluhureunan, nangtukeun abdi ngalaman wangi daun hiji di pasir abdi.
Saya sangat senang bekerja di perusahaan ini karena atmosfernya yang positif, lingkungan kerjanya yang menyenangkan, serta rekan kerjanya yang ramah dan profesional.	Abdi téh sanés kagum ngabaktos dina perusahaan ieu kénéh nuangkeun suasana nu positip, lingkungan kerjo nu asyik, sareng sané rekan kerjo nu ngarasa rawuh ka anjeun sareng profesional.
Saat ini cuaca sedang cukup panas, banyak orang lebih memilih untuk tinggal di dalam ruangan dengan AC untuk menghindari terik matahari dan keringat yang mengalir deras.	Mangga kitu cuaca ayeuna sanes jeung panas-pamernéng, abdi-abdi sanggaresna raming di dalem ruangan kalangkang AC pikeun ningkatkeun diri tina pangaruh angin atawa istirahat produksi keringet nu akuruk bedil.
.Saat matahari terbenam di ufuk barat, langit mulai berubah warna menjadi oranye kekuningan yang mempesona, dan angin semakin menggigilkan udara yang dingin pada malam hari.	.Kaping saiki pacangep luhur kabeh rahayu di papat ka kulon, sawala nenggal weleh wetan ka kolot, sama indungna janten oranye kadua, nagara karunungeun ngrusak kadang sareng angin ngojegna muncrat geser-geser salira bage.
Hari-hari ini menjadi semakin panas dan tidak terasa nyaman karena cuaca yang sedang ekstrim, terutama di kota-kota besar yang memiliki tingkat polusi udara yang tinggi, sehingga membuat kita sulit untuk bernapas dengan baik dan sehat secara keseluruhan.	Pangaraos ieu ngageunaan ngan ukur pangalaman jeung teóri nu pangharatisan, sareng aya dewasa aya usia nu ngajelaskeun rasa patuh ka hukum sareng prosés édukasi kana kasehatan, sabalikna tetep mangrupa hal nu kudu diperyogi pikeun ngabalukarkeun kahirupan kaayaan sareng pangalusna.
Di waktu pagi, saya bangun dari tidur, kemudian mandi, lalu sarapan, dan berangkat ke kantor.	Iréka sarua saacan, urang kaluar ti jalmi, sajajar saacan, sareng sacara tiis, lalu nindak ka kantoran.
Saya suka makan nasi goreng, mie goreng, dan bakso saat sarapan, karena makanan tersebut memiliki cita rasa yang enak dan memberikan energi yang cukup untuk memulai hari dengan semangat yang baik.	Abdi resep maké nasi goreng, mi goreng, sareng bakso waktu sarapan, tangtosna sajaba cocog rasana sareng hirupan anu mencukupi pikeun ngamulai kahirupan sareng semangat anu lancar.
.Kamu bisa makan nasi goreng, mie goreng, atau bihun goreng sebagai sarapan pagi atau makan siang, atau kamu bisa memilih untuk makan bubur ayam, kupat tahu, atau sate sebagai menu makan malammu.	.Anjeun tiasa maén nasi goreng, mie goreng, atanapi bihun goreng salaku sarapan pagi atanapi saalamunya, atanapi anjeun tiasa milih maén bubur ayam, kupat tahu, atanapi sate salaku menu saalam-hari.
.Ibu memasak nasi goreng dan ayah memotong sayuran untuk menu makan malam, sementara anak-anak mempersiapkan meja makan dengan menyiapkan piring, sendok, garpu, dan gelas.	.Nyaéta Indung nyiapkeun nasi goreng sareng Baba muntah sayur pikeun mamangsa makan malam, sanggeus unggal anak lia nyihayunan meja makan ku nyiapkeun pinggan, cucuk, celeng, sareng gelas.
Saya makan nasi goreng, kemudian minum teh manis, setelah itu menonton film di televisi besar yang terpasang di dinding.	Abdi mlaku-mlaku pikeun daptar ngahaleuang nasi goreng, kaulinan éta nyumput teh manis, sareng ngadangukeun film di papan parabola nu geus kecululit di dinding.
Saya suka makan nasi goreng karena rasanya gurih dan pedas, sedangkan teman saya lebih suka makan mie ayam karena teksturnya lembut dan bumbunya menggugah selera.	Abdi ngan ukur mangan nasi goreng kabehna citana hudang jeung pedas, tapi saha abdi ngaregeuh uwisan mangan mie ayam kabehna citaanya lembut sareng rasa bumbuna ngajak sopana.
